sheet,slot,id,pair,strategy,side,entry_pct,step,orders,size,max_size,mult,target,tp,profit,realized,unrealized,volume,note
2026-05-13/007,1,4839809357,BTCUSDT,INDICATOR,Short,0.7,0.02,5000,0.001,0.003,1.3,0.21,12,2314.89,2405.11,-90.22,13520255,
2026-05-13/007,2,5578263242,BTCUSD-инв,INDICATOR,Long,-0.3,0.04,5000,100,300,1.2,0.9,0,0.27690,0.27695,-0.0000497,4505400,
2026-05-13/007,3,4794987162,BTCUSDT,INDICATOR,Short,1.5,0.03,5000,0.002,0.004,1.3,0.35,175,4698.85,4698.85,0,6008568,мешок ноль
2026-05-13/007,4,4655391088,BTCUSD-инв,INDICATOR,Long,-0.3,0.04,5000,100,300,1.2,0.9,0,0.27283,0.27287,-0.0000392,4484600,
2026-05-13/008,1,4475493538,BTCUSDT,INDICATOR,Short,1.5,0.03,5000,0.002,0.004,1.3,0.35,175,4716.94,4716.94,0,6078580,мешок ноль
2026-05-13/008,2,6064034130,BTCUSDT,INDICATOR,Short,2.0,0.05,5000,0.002,0.005,1.2,0.6,270,3247.35,3247.35,0,2182995,мешок ноль
2026-05-13/008,3,6251205571,BTCUSDT,INDICATOR,Short,2.0,0.05,5000,0.002,0.005,1.2,0.6,270,3232.10,3232.10,0,2184368,мешок ноль
2026-05-13/008,4,4626049409,BTCUSDT,INDICATOR,Short,2.0,0.05,5000,0.002,0.005,1.2,0.6,270,3247.70,3247.70,0,2192460,мешок ноль
2026-05-18/003,1,5752394544,BTCUSD-инв,INDICATOR,Long,-0.3,0.025,5000,100,,,0.13,3,0.06184,0.06190,-0.0000059,10177200,база Finished
2026-05-18/003,2,5375918023,BTCUSD-инв,INDICATOR,Long,-0.3,0.03,5000,100,,,0.13,3,0.05313,0.05314,-0.0000099,8711600,база Finished
2026-05-18/003,4,5745342191,BTCUSD-инв,INDICATOR,Long,-0.3,0.02,5000,100,,,0.13,3,0.07720,0.07723,-0.00000310,12549100,база Finished
2026-05-18/004,1,4717593259,BTCUSD-инв,INDICATOR,Long,-0.3,0.02,5000,100,,,0.13,2,0.07666,0.07675,-0.0000834,12489200,база Finished
2026-05-18/004,2,4466658940,BTCUSD-инв,INDICATOR,Long,-0.3,0.02,5000,100,,,0.13,5,0.07665,0.07672,-0.0000634,12494800,база Finished
2026-05-18/004,3,4435938371,BTCUSD-инв,INDICATOR,Long,-0.3,0.02,5000,100,,,0.13,8,0.07726,0.07728,-0.0000221,12545500,база Finished
2026-05-18/006,3,5076924295,BTCUSDT,INDICATOR,Short,0.3,0.02,5000,0.001,0.003,1.1,0.13,5,-9016.79,3281.47,-12298.26,21239999,окно 10.02-10.05 МИНУС мешок -12298
2026-05-18/006,4,6109882218,BTCUSDT,INDICATOR,Short,0.3,0.02,5000,0.001,0.003,1.0,0.13,5,-2812.99,1250.02,-3863.01,7465310,окно 10.02-10.05 МИНУС
2026-05-18/007,1,6074697666,BTCUSDT,INDICATOR,Short,0.3,0.03,5000,0.001,0.003,1.1,0.13,5,-8857.77,3323.18,-12280.95,21178800,окно 10.02-10.05 МИНУС
