ts_utc,bot_id,bot_name,alias,status,position,profit,current_profit,in_filled_count,in_filled_qty,out_filled_count,out_filled_qty,trigger_count,trigger_qty,average_price,trade_volume,balance,liquidation_price,schema_version
2026-06-10T09:07:06+00:00,5617871752,WLD,,2,0,3.300816,-5.4826635,12,,4,,8,,0,2392.4700000000003,7524.227078,0,3
2026-06-10T09:07:06+00:00,4306550166,XRP,,2,0,0,-0.2239956,4,,0,,4,,0,265.88,7524.430787,0,3
2026-06-10T09:08:06+00:00,5693279219,SOL,,2,3,0.916009,-0.9543246500000001,4,,1,,3,,63.8191304347826,1071.612,7524.227078,0,3
2026-06-10T09:08:06+00:00,5617871752,WLD,,2,0,3.300816,-5.4826635,12,,4,,8,,0,2392.4700000000003,7524.227078,0,3
2026-06-10T09:08:06+00:00,4306550166,XRP,,2,0,0,-0.2239956,4,,0,,4,,0,265.88,7524.430787,0,3
2026-06-10T09:09:06+00:00,5693279219,SOL,,2,3,0.916009,-0.9543246500000001,4,,1,,3,,63.8191304347826,1071.612,7524.227078,0,3
2026-06-10T09:09:06+00:00,5617871752,WLD,,2,0,3.300816,-5.4826635,12,,4,,8,,0,2392.4700000000003,7524.227078,0,3
2026-06-10T09:09:06+00:00,4306550166,XRP,,2,0,0,-0.2239956,4,,0,,4,,0,265.88,7524.430787,0,3
2026-06-10T09:10:06+00:00,5693279219,SOL,,2,3,0.916009,-0.7055756000000001,4,,1,,3,,63.8191304347826,1071.612,7524.430787,0,3
2026-06-10T09:10:06+00:00,5617871752,WLD,,2,0,3.300816,-5.483251500000001,12,,4,,8,,0,2392.4700000000003,7524.430787,0,3
2026-06-10T09:10:06+00:00,4306550166,XRP,,2,0,0,-0.2239956,4,,0,,4,,0,265.88,7524.430787,0,3
2026-06-10T09:11:06+00:00,5693279219,SOL,,2,3,0.916009,-0.7055756000000001,4,,1,,3,,63.8191304347826,1071.612,7524.430787,0,3
2026-06-10T09:11:06+00:00,5617871752,WLD,,2,0,3.300816,-5.483251500000001,12,,4,,8,,0,2392.4700000000003,7524.430787,0,3
2026-06-10T09:11:06+00:00,4306550166,XRP,,2,0,0,-0.2239956,4,,0,,4,,0,265.88,7524.430787,0,3
2026-06-10T09:12:06+00:00,5693279219,SOL,,2,3,0.916009,-0.7055756000000001,4,,1,,3,,63.8191304347826,1071.612,7524.430787,0,3
2026-06-10T09:12:06+00:00,5617871752,WLD,,2,0,3.300816,-5.483251500000001,12,,4,,8,,0,2392.4700000000003,7524.430787,0,3
2026-06-10T09:12:06+00:00,4306550166,XRP,,2,0,0,-0.2239956,4,,0,,4,,0,265.88,7524.430787,0,3
2026-06-10T09:13:06+00:00,5693279219,SOL,,2,3,0.916009,-0.7055756000000001,4,,1,,3,,63.8191304347826,1071.612,7524.430787,0,3
2026-06-10T09:13:06+00:00,5617871752,WLD,,2,0,3.300816,-5.483251500000001,12,,4,,8,,0,2392.4700000000003,7524.430787,0,3
2026-06-10T09:13:06+00:00,4306550166,XRP,,2,0,0,-0.2239956,4,,0,,4,,0,265.88,7524.430787,0,3
2026-06-10T09:14:08+00:00,5693279219,SOL,,2,3,0.916009,-0.7055756000000001,4,,1,,3,,63.8191304347826,1071.612,7524.430787,0,3
2026-06-10T09:14:08+00:00,5617871752,WLD,,2,0,3.300816,-5.483251500000001,12,,4,,8,,0,2392.4700000000003,7524.430787,0,3
2026-06-10T09:14:08+00:00,4306550166,XRP,,2,0,0,-0.2239956,4,,0,,4,,0,265.88,7524.430787,0,3
2026-06-10T09:15:07+00:00,5693279219,SOL,,2,3,0.916009,-0.7055756000000001,4,,1,,3,,63.8191304347826,1071.612,7524.430787,0,3
2026-06-10T09:15:07+00:00,5617871752,WLD,,2,0,3.300816,-5.483251500000001,12,,4,,8,,0,2392.4700000000003,7524.430787,0,3
2026-06-10T09:15:07+00:00,4306550166,XRP,,2,50,0.291244,-0.2117735,4,,1,,3,,1.1076916666666667,321.08,7524.430787,0,3
2026-06-10T09:16:07+00:00,5693279219,SOL,,2,0,0.916009,-1.7766351500000002,5,,1,,4,,0,1261.6619999999998,7524.430787,0,3
2026-06-10T09:16:07+00:00,5617871752,WLD,,2,0,3.300816,-5.483251500000001,12,,4,,8,,0,2392.4700000000003,7524.430787,0,3
2026-06-10T09:16:07+00:00,4306550166,XRP,,2,50,0.291244,-0.2117735,4,,1,,3,,1.1076916666666667,321.08,7524.430787,0,3
2026-06-10T09:17:07+00:00,5693279219,SOL,,2,8.97,2.2246259999999998,-2.23632837,6,,2,,4,,63.3426086957,1829.8452,7523.392518,0,3
2026-06-10T09:17:07+00:00,5617871752,WLD,,2,0,3.300816,-5.483251500000001,12,,4,,8,,0,2392.4700000000003,7524.430787,0,3
2026-06-10T09:17:07+00:00,4306550166,XRP,,2,50,0.291244,-0.2117735,4,,1,,3,,1.1076916666666667,321.08,7524.430787,0,3
