direction,anchor_ts,anchor_dt,trigger_price,move_pct,n_triggers,vol_spike,oi_delta_win,taker_win,wick_ratio,accel,funding_at_anchor,move_t5,oi_delta_t5,taker_t5,move_t15,oi_delta_t15,taker_t15,move_t30,oi_delta_t30,taker_t30,move_t60,oi_delta_t60,taker_t60,fwd_extreme_pct,bars_to_return,bars_to_continue,outcome,move_24h_signed
down,1720902060000,2024-07-13T20:21:00.000000000,0.55,-1.532,4,5.13,-3262614.0,0.4724,1.676,0.0017,0.0001,-0.146,-1742327.0,0.4662,-1.007,-7604096.0,0.4817,-1.208,-9364865.0,0.4963,-1.812,-10513417.0,0.5003,-4.393,-1,10,trend,2.252
up,1720939980000,2024-07-14T06:53:00.000000000,0.53,1.655,1,1.83,4668713.0,0.629,1.762,0.001,0.0001,-0.53,-283883.0,0.5455,-0.53,1800170.0,0.5987,-0.341,2951336.0,0.5613,-0.53,5308616.0,0.5648,2.234,-1,137,trend,0.284
down,1720950540000,2024-07-14T09:49:00.000000000,0.53,-2.173,1,3.39,-419087.0,0.4651,1.541,0.0016,8.5e-05,0.133,118204.0,0.4088,0.475,-2264514.0,0.4437,0.949,-1164030.0,0.4833,1.348,-1592867.0,0.4683,-0.987,27,-1,whipsaw,-0.665
up,1721062080000,2024-07-15T16:48:00.000000000,0.53,1.645,1,2.36,-2833524.0,0.5121,1.552,0.0009,-1e-05,0.113,-468539.0,0.508,0.226,-3503520.0,0.4677,0.376,-4034997.0,0.4699,0.489,-6148936.0,0.4708,1.28,-1,216,trend,10.86
up,1721091120000,2024-07-16T00:52:00.000000000,0.55,1.994,3,2.6,610276.0,0.5214,1.62,0.0011,0.0001,-0.11,74836.0,0.5455,0.347,1480266.0,0.544,0.493,2020271.0,0.5096,0.859,3300801.0,0.5099,4.257,-1,7,trend,6.285
down,1721103840000,2024-07-16T04:24:00.000000000,0.56,-1.636,4,2.37,2728280.0,0.4571,2.253,0.0007,0.0001,-0.143,1754408.0,0.502,-0.501,49345.0,0.4267,-0.59,-951106.0,0.463,-1.485,-3160180.0,0.4483,-4.382,-1,43,trend,-7.208
up,1721137320000,2024-07-16T13:42:00.000000000,0.55,1.504,2,1.85,1093787.0,0.5512,1.689,0.0008,4.1e-05,0.325,227441.0,0.5138,0.886,-561401.0,0.5244,1.825,1043901.0,0.5187,3.777,8762903.0,0.5101,7.446,-1,7,trend,11.748
up,1721148480000,2024-07-16T16:48:00.000000000,0.59,1.815,1,4.44,-850923.0,0.5015,2.142,0.0012,0.0001,0.034,-160072.0,0.4779,0.357,788465.0,0.4724,-0.085,2800994.0,0.4678,-0.102,2348293.0,0.4557,0.73,82,-1,whipsaw,3.022
up,1721189340000,2024-07-17T04:09:00.000000000,0.59,1.594,1,0.81,-598947.0,0.4956,1.612,0.0005,0.0001,-0.101,2296572.0,0.5634,1.13,1190548.0,0.5566,2.008,3424764.0,0.5547,2.261,6229653.0,0.5222,4.404,-1,12,trend,2.548
up,1721200740000,2024-07-17T07:19:00.000000000,0.62,1.646,2,2.94,2415281.0,0.4854,2.341,0.0009,0.0001,-0.761,2686742.0,0.4487,-1.814,-1146367.0,0.4379,-2.381,-866045.0,0.4177,-1.911,-3893272.0,0.4308,0.34,7,-1,whipsaw,-5.426
