n,hit,net,per_year,pos_years,method,price,fast,slow,anchor,beats_base
414,52.2,0.002,"{2024: np.float64(-0.017), 2025: np.float64(-0.184), 2026: np.float64(0.587)}",1,EMA,close,12,21,—,False
237,51.9,-0.051,"{2024: np.float64(0.05), 2025: np.float64(-0.309), 2026: np.float64(0.371)}",2,EMA,close,12,21,MA200,False
461,48.8,-0.243,"{2024: np.float64(-0.174), 2025: np.float64(-0.419), 2026: np.float64(0.098)}",1,EMA,close,12,34,—,False
268,46.3,-0.294,"{2024: np.float64(-0.061), 2025: np.float64(-0.691), 2026: np.float64(0.338)}",1,EMA,close,12,34,MA200,False
403,47.1,-0.261,"{2024: np.float64(-0.297), 2025: np.float64(-0.395), 2026: np.float64(0.266)}",1,EMA,close,12,55,—,False
255,43.1,-0.483,"{2024: np.float64(-0.326), 2025: np.float64(-0.706), 2026: np.float64(-0.148)}",0,EMA,close,12,55,MA200,False
340,44.7,-0.246,"{2024: np.float64(-0.279), 2025: np.float64(-0.352), 2026: np.float64(0.216)}",1,EMA,close,12,77,—,False
227,41.9,-0.455,"{2024: np.float64(-0.503), 2025: np.float64(-0.605), 2026: np.float64(0.236)}",1,EMA,close,12,77,MA200,False
313,49.2,-0.147,"{2024: np.float64(0.03), 2025: np.float64(-0.335), 2026: np.float64(0.014)}",2,EMA,close,12,89,—,False
226,47.3,-0.267,"{2024: np.float64(-0.152), 2025: np.float64(-0.462), 2026: np.float64(0.097)}",1,EMA,close,12,89,MA200,False
298,50.0,-0.187,"{2024: np.float64(-0.029), 2025: np.float64(-0.395), 2026: np.float64(0.103)}",1,EMA,close,12,100,—,False
221,48.0,-0.245,"{2024: np.float64(-0.141), 2025: np.float64(-0.446), 2026: np.float64(0.111)}",1,EMA,close,12,100,MA200,False
204,50.0,-0.198,"{2024: np.float64(-0.09), 2025: np.float64(-0.271), 2026: np.float64(-0.306)}",0,EMA,close,12,200,—,False
204,50.0,-0.198,"{2024: np.float64(-0.09), 2025: np.float64(-0.271), 2026: np.float64(-0.306)}",0,EMA,close,12,200,MA200,False
354,54.0,0.075,"{2024: np.float64(0.145), 2025: np.float64(-0.163), 2026: np.float64(0.562)}",2,EMA,close,13,21,—,False
204,56.9,0.225,"{2024: np.float64(0.363), 2025: np.float64(-0.08), 2026: np.float64(0.78)}",2,EMA,close,13,21,MA200,True
426,47.7,-0.25,"{2024: np.float64(-0.21), 2025: np.float64(-0.406), 2026: np.float64(0.112)}",1,EMA,close,13,34,—,False
243,45.7,-0.279,"{2024: np.float64(-0.087), 2025: np.float64(-0.654), 2026: np.float64(0.392)}",1,EMA,close,13,34,MA200,False
388,46.1,-0.266,"{2024: np.float64(-0.305), 2025: np.float64(-0.423), 2026: np.float64(0.367)}",1,EMA,close,13,55,—,False
249,42.2,-0.483,"{2024: np.float64(-0.412), 2025: np.float64(-0.67), 2026: np.float64(0.001)}",1,EMA,close,13,55,MA200,False
328,47.0,-0.212,"{2024: np.float64(-0.191), 2025: np.float64(-0.369), 2026: np.float64(0.325)}",1,EMA,close,13,77,—,False
224,45.1,-0.404,"{2024: np.float64(-0.393), 2025: np.float64(-0.592), 2026: np.float64(0.403)}",1,EMA,close,13,77,MA200,False
302,49.3,-0.141,"{2024: np.float64(-0.046), 2025: np.float64(-0.253), 2026: np.float64(-0.011)}",0,EMA,close,13,89,—,False
215,46.5,-0.263,"{2024: np.float64(-0.236), 2025: np.float64(-0.4), 2026: np.float64(0.104)}",1,EMA,close,13,89,MA200,False
298,50.3,-0.135,"{2024: np.float64(0.051), 2025: np.float64(-0.322), 2026: np.float64(0.04)}",2,EMA,close,13,100,—,False
223,47.1,-0.272,"{2024: np.float64(-0.089), 2025: np.float64(-0.495), 2026: np.float64(0.009)}",1,EMA,close,13,100,MA200,False
200,52.5,-0.173,"{2024: np.float64(0.025), 2025: np.float64(-0.203), 2026: np.float64(-0.63)}",1,EMA,close,13,200,—,False
